course_name,course_name_length,course_url,course_rating,course_enrolled,rating,reviews,course_views,course_hours,course_category,course_discipline,num_of_weeks,course_level,course_language,course_videos,course_teachers
Возможно ли воспитать детей «правильно»?,40,https://www.coursera.org/learn/vospitat-detei-pravilno,4.8,8789,46,19,18251,22,Social Sciences,Governance and Society,6,Beginner,Russian,29,1
История экономической мысли (History of Economic Thought),57,https://www.coursera.org/learn/istoriya-ekonomicheskoy-mysli,4.7,13120,175,17,22797,16,Social Sciences,Economics,11,Beginner,Russian,87,3
Основы программирования на Python,33,https://www.coursera.org/learn/python-osnovy-programmirovaniya,4.6,68984,1650,359,1358978,70,Computer Science,Algorithms,9,Beginner,Russian,60,1
Институциональная экономика (Institutional economics),53,https://www.coursera.org/learn/institutional-economics,4.8,7549,253,24,11573,13,Social Sciences,Economics,8,Beginner,Russian,45,1
Understanding Russians: Contexts of Intercultural Communication,63,https://www.coursera.org/learn/intercultural-communication-russians,4.5,6749,56,12,8383,26,Arts and Humanities,History,8,Beginner,English,87,1
Stalin and Stalinism in Russian History,39,https://www.coursera.org/learn/stalinism,4.7,7411,96,33,6725,33,Arts and Humanities,History,10,Beginner,English,67,1
Организационные практики и инструменты в работе лидера образовательной организации,82,https://www.coursera.org/learn/organizational-practices-and-instruments,None,None,None,None,4663,14,Social Sciences,Education,6,Intermediate,Russian,39,5
Семантика (Московская семантическая школа и близкие теории),59,https://www.coursera.org/learn/moscow-semantic-school,4.8,2028,5,3,4592,19,Arts and Humanities,Philosophy,6,None,Russian,57,1
Understanding Russian Economy. Problems of Transition,53,https://www.coursera.org/learn/economy-russia-transition,4.7,5658,229,35,6639,10,Social Sciences,Economics,8,None,English,40,1
Алгоритмизация вычислений (Algorithmic computation),51,https://www.coursera.org/learn/algoritmizacija-vychislenij,4.6,8931,144,5,11994,27,Computer Science,Algorithms,12,Beginner,Russian,83,1
Calculus and Optimization for Machine Learning,46,https://www.coursera.org/learn/calculus-and-optimization-for-machine-learning,4.4,2192,27,4,141276,4,Math and Logic,Math and Logic,6,Intermediate,English,74,1
Финансовые рынки и институты (Financial Markets and Institutions),65,https://www.coursera.org/learn/finansovye-rynki,4.9,36541,1341,166,97174,26,Social Sciences,Economics,9,None,Russian,72,1
Introduction to Multilingual and Multicultural Education,56,https://www.coursera.org/learn/multilingual-multicultural-education,4.4,4089,32,11,6457,22,Arts and Humanities,History,9,Beginner,English,54,1
Mobile Interaction Design: How to Design Usable Mobile Products and Services,76,https://www.coursera.org/learn/mobile-interaction-design,4.8,5775,9,2,13080,38,Computer Science,Design and Product,10,Intermediate,English,82,1
Основы микроэкономики (Microeconomics Principles),49,https://www.coursera.org/learn/mikroekonomika,4.5,14879,172,22,21138,27,Social Sciences,Economics,10,Beginner,Russian,56,1
Stochastic processes,20,https://www.coursera.org/learn/stochasticprocesses,4.5,21397,180,52,42928,29,Math and Logic,Math and Logic,9,Intermediate,English,77,1
Сравнительная политика (Comparative Politics),45,https://www.coursera.org/learn/politika-sravnitelnaja,4.6,9587,108,16,8513,23,Social Sciences,Governance and Society,12,None,Russian,135,2
Cultural and creative industries,32,https://www.coursera.org/learn/cultural-creative-industries,3.8,3483,25,5,57654,18,Arts and Humanities,History,8,None,English,107,1
