video_id,distance,num_of_points,normalized_distance,Fearful,Surprised,Happy,Neutral,Disgusted,Sad
75,55.0,55.0,1.0,92.43,0.06,0.0,2.25,0.0,5.14
76,30.5,20.0,1.525,42.27,6.46,1.9,11.88,0.17,32.24
77,65.5,159.0,0.4119496855345912,19.26,11.81,4.82,40.15,1.34,22.12
78,130.0,85.0,1.5294117647058822,0.0,0.0,0.0,0.0,0.0,0.0
79,100.5,145.0,0.6931034482758621,30.07,4.98,14.11,39.26,0.0,5.69
80,194.5,237.0,0.820675105485232,16.78,30.82,5.21,33.1,0.0,2.33
81,108.0,169.0,0.6390532544378699,6.14,16.29,5.99,65.02,0.0,4.06
82,0.0,0.0,0.0,23.93,0.24,0.0,5.45,0.0,3.79
83,0.0,0.0,0.0,45.35,0.0,0.0,41.42,0.0,1.6
84,0.0,0.0,0.0,34.32,0.0,0.0,33.47,0.0,4.87
85,129.5,175.0,0.74,39.22,37.44,15.24,3.57,0.0,1.38
86,0.0,0.0,0.0,20.04,45.12,4.44,5.65,1.08,13.99
87,141.5,235.0,0.6021276595744681,7.62,13.53,8.05,36.61,0.5,28.49
88,125.5,166.0,0.7560240963855421,0.0,0.0,0.0,0.0,0.0,0.0
89,37.0,21.0,1.761904761904762,2.53,0.08,32.16,60.48,0.0,3.15
90,27.0,9.0,3.0,17.11,0.88,41.7,31.5,0.37,7.2
91,290.0,237.0,1.2236286919831223,28.59,5.33,26.83,6.02,2.07,8.53
92,53.0,22.0,2.409090909090909,20.95,29.59,7.56,25.05,0.0,3.67
93,62.0,11.0,5.636363636363638,25.43,51.4,0.86,5.28,4.96,4.53
94,145.5,192.0,0.7578125,34.05,6.09,2.26,11.93,0.5,0.25
95,182.5,173.0,1.0549132947976878,4.52,43.07,4.15,27.24,1.89,2.36
96,65.5,136.0,0.4816176470588235,1.27,0.22,2.83,79.6,0.0,15.85
97,69.5,80.0,0.86875,89.17,6.05,1.67,0.72,0.0,2.39
98,106.0,180.0,0.5888888888888889,71.26,13.1,12.49,2.02,0.0,1.07
99,65.0,161.0,0.40372670807453415,6.42,1.85,8.87,80.85,0.0,0.98
100,97.5,198.0,0.4924242424242424,92.77,4.06,2.89,0.22,0.0,0.06
101,93.5,113.0,0.8274336283185841,18.58,6.48,0.45,14.89,0.06,0.0
102,99.5,204.0,0.4877450980392157,58.78,33.72,0.39,0.78,0.0,6.33
103,69.0,143.0,0.4825174825174825,76.56,0.0,0.0,22.33,0.0,0.33
104,160.0,280.0,0.5714285714285714,15.46,2.42,3.69,18.19,3.44,8.4
105,89.0,169.0,0.5266272189349113,0.55,0.0,0.0,99.06,0.0,0.22
106,79.5,9.0,8.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0
107,124.5,98.0,1.270408163265306,22.48,0.0,0.0,1.8,64.39,0.36
108,143.5,149.0,0.9630872483221476,22.42,1.74,1.1,2.76,63.85,1.26
109,118.0,162.0,0.7283950617283951,29.31,55.52,0.11,9.53,0.0,3.27
110,86.0,287.0,0.29965156794425085,3.13,0.18,17.62,73.66,0.0,0.12
111,65.0,163.0,0.3987730061349693,46.38,0.1,0.0,32.09,0.0,21.43
112,79.5,127.0,0.6259842519685039,31.37,0.06,5.77,7.22,34.31,0.67
